Id,Name,CharDesc,PassiveName,PassiveDesc,Rarity,BlockName,BlockDesc,BlockRarity
pa_victor,chr_pa_victor_name,chr_pa_victor_char_desc,chr_pa_victor_passive_name,chr_pa_victor_passive_desc,Common,blk_pa1_name,blk_pa1_desc,Common
pa3,chr_pa_captainjg_name,chr_pa_captainjg_char_desc,chr_pa_captainjg_passive_name,chr_pa_captainjg_passive_desc,Rare,blk_pa3_name,blk_pa3_desc,Rare
pa2,chr_pa_glen_name,chr_pa_glen_char_desc,chr_pa_glen_passive_name,chr_pa_glen_passive_desc,Rare,blk_pa2_name,blk_pa2_desc,Rare
wa_reon,chr_wa_reon_name,chr_wa_reon_char_desc,chr_wa_reon_passive_name,chr_wa_reon_passive_desc,Common,blk_wa1_name,blk_wa1_desc,Common
wa_izna,chr_wa_izna_name,chr_wa_izna_char_desc,chr_wa_izna_passive_name,chr_wa_izna_passive_desc,Rare,blk_wa2_name,blk_wa2_desc,Rare
ar_hikari,chr_ar_hikari_name,chr_ar_hikari_char_desc,chr_ar_hikari_passive_name,chr_ar_hikari_passive_desc,Common,blk_ar1_name,blk_ar1_desc,Common
ar_skadi,chr_ar_skadi_name,chr_ar_skadi_char_desc,chr_ar_skadi_passive_name,chr_ar_skadi_passive_desc,Rare,blk_ar2_name,blk_ar2_desc,Rare
hu_raven,chr_hu_raven_name,chr_hu_raven_char_desc,chr_hu_raven_passive_name,chr_hu_raven_passive_desc,Common,blk_hu1_name,blk_hu1_desc,Common
hu_ahnmansik,chr_hu_ahnmansik_name,chr_hu_ahnmansik_char_desc,chr_hu_ahnmansik_passive_name,chr_hu_ahnmansik_passive_desc,Rare,blk_hu2_name,blk_hu2_desc,Rare
hu_mkq,chr_hu_mkq_name,chr_hu_mkq_char_desc,chr_hu_mkq_passive_name,chr_hu_mkq_passive_desc,Rare,blk_hu3_name,blk_hu3_desc,Rare
wi_acan,chr_wi_acan_name,chr_wi_acan_char_desc,chr_wi_acan_passive_name,chr_wi_acan_passive_desc,Common,blk_wi1_name,blk_wi1_desc,Common
wi_zyum,chr_wi_zyum_name,chr_wi_zyum_char_desc,chr_wi_zyum_passive_name,chr_wi_zyum_passive_desc,Rare,blk_wi2_name,blk_wi2_desc,Rare
wi_yshtolla,chr_wi_yshtolla_name,chr_wi_yshtolla_char_desc,chr_wi_yshtolla_passive_name,chr_wi_yshtolla_passive_desc,Rare,blk_wi3_name,blk_wi3_desc,Rare
pr_beatrice,chr_pr_beatrice_name,chr_pr_beatrice_char_desc,chr_pr_beatrice_passive_name,chr_pr_beatrice_passive_desc,Common,blk_pr1_name,blk_pr1_desc,Common
pr_selmu,chr_pr_selmu_name,chr_pr_selmu_char_desc,chr_pr_selmu_passive_name,chr_pr_selmu_passive_desc,Rare,blk_pr2_name,blk_pr2_desc,Rare
pr_rin,chr_pr_rin_name,chr_pr_rin_char_desc,chr_pr_rin_passive_name,chr_pr_rin_passive_desc,Rare,blk_pr3_name,blk_pr3_desc,Rare
