Id,Name,Desc,Rarity
bs1,jkr_bs1_name,jkr_bs1_desc,Common
ch1,jkr_ch1_name,jkr_ch1_desc,Common
cwar1,jkr_cwar1_name,jkr_cwar1_desc,Common
carc1,jkr_carc1_name,jkr_carc1_desc,Common
cpri1,jkr_cpri1_name,jkr_cpri1_desc,Common
ch2,jkr_ch2_name,jkr_ch2_desc,Common
ch3,jkr_ch3_name,jkr_ch3_desc,Common
dsc1,jkr_dsc1_name,jkr_dsc1_desc,Common
grp1,jkr_grp1_name,jkr_grp1_desc,Common
turn_e,jkr_turn_e_name,jkr_turn_e_desc,Common
late_c,jkr_late_c_name,jkr_late_c_desc,Common
nods_c,jkr_nods_c_name,jkr_nods_c_desc,Common
cwar2,jkr_cwar2_name,jkr_cwar2_desc,Common
carc2,jkr_carc2_name,jkr_carc2_desc,Common
cpri2,jkr_cpri2_name,jkr_cpri2_desc,Common
wararch,jkr_wararch_name,jkr_wararch_desc,Common
archpri,jkr_archpri_name,jkr_archpri_desc,Common
priwar,jkr_priwar_name,jkr_priwar_desc,Common
ch1b,jkr_ch1b_name,jkr_ch1b_desc,Common
ch23,jkr_ch23_name,jkr_ch23_desc,Common
cons_c,jkr_cons_c_name,jkr_cons_c_desc,Common
spd1,jkr_spd1_name,jkr_spd1_desc,Rare
dsc2,jkr_dsc2_name,jkr_dsc2_desc,Rare
dom1,jkr_dom1_name,jkr_dom1_desc,Rare
prev3,jkr_prev3_name,jkr_prev3_desc,Rare
turn_l,jkr_turn_l_name,jkr_turn_l_desc,Rare
nods1,jkr_nods1_name,jkr_nods1_desc,Rare
trio1,jkr_trio1_name,jkr_trio1_desc,Epic
full,jkr_full_name,jkr_full_desc,Epic
spd_e,jkr_spd_e_name,jkr_spd_e_desc,Epic
