Key,Value
jkr_cwar1_name,전투의 함성
jkr_cwar1_desc,워리어 블록의 데미지가 상승합니다.
jkr_cpal1_name,수호의 빛
jkr_cpal1_desc,팔라딘 블록의 데미지가 상승합니다.
jkr_cwiz1_name,마나 폭주
jkr_cwiz1_desc,위자드 블록의 데미지가 상승합니다.
jkr_carc1_name,사냥 개시
jkr_carc1_desc,아처 블록의 데미지가 상승합니다.
jkr_chun1_name,목표 포착
jkr_chun1_desc,헌터 블록의 데미지가 상승합니다.
jkr_cpri1_name,빛의 축복
jkr_cpri1_desc,프리스트 블록의 데미지가 상승합니다.
jkr_cwar2_name,전장의 영웅
jkr_cwar2_desc,워리어만 편성 시 데미지가 상승합니다.
jkr_cpal2_name,성전 태세
jkr_cpal2_desc,팔라딘만 편성 시 데미지가 상승합니다.
jkr_cwiz2_name,인피니티
jkr_cwiz2_desc,위자드만 편성 시 데미지가 상승합니다.
jkr_carc2_name,폭풍의 시
jkr_carc2_desc,아처만 편성 시 데미지가 상승합니다.
jkr_chun2_name,불릿 파티
jkr_chun2_desc,헌터만 편성 시 데미지가 상승합니다.
jkr_cpri2_name,헤븐즈 도어
jkr_cpri2_desc,프리스트만 편성 시 데미지가 상승합니다.
jkr_ch1_name,정권 지르기
jkr_ch1_desc,1체인의 데미지가 상승합니다.
jkr_ch2_name,연속 타격
jkr_ch2_desc,2체인의 데미지가 상승합니다.
jkr_ch3_name,삼연격
jkr_ch3_desc,3체인의 데미지가 상승합니다.
jkr_allch1_name,기본이 중요하다
jkr_allch1_desc,1체인만 구성 시 데미지가 상승합니다.
jkr_allch2_name,양손잡이
jkr_allch2_desc,2체인만 구성 시 데미지가 상승합니다.
jkr_allch3_name,무자비
jkr_allch3_desc,3체인만 구성 시 데미지가 상승합니다.
jkr_dbch12_name,가벼운 손놀림
jkr_dbch12_desc,1·2체인만 구성 시 데미지가 상승합니다.
jkr_dbch23_name,노련한 일격
jkr_dbch23_desc,2·3체인만 구성 시 데미지가 상승합니다.
jkr_dbch13_name,집중 타격
jkr_dbch13_desc,1·3체인만 구성 시 데미지가 상승합니다.
jkr_spd1_name,신속
jkr_spd1_desc,남은 시간이 70% 이상일 때 데미지가 상승합니다.
jkr_dsc1_name,완벽 주의
jkr_dsc1_desc,버린 블록의 직업 수만큼 해당 그룹 데미지가 상승합니다.
jkr_solo1_name,일당백
jkr_solo1_desc,단일 직업 편성 시 각 그룹의 데미지가 상승합니다.
jkr_prev1_name,동료애
jkr_prev1_desc,이전 턴과 직업 구성이 같을 때 데미지가 상승합니다.
jkr_turn1_name,속전속결
jkr_turn1_desc,첫 번째 턴에 보너스 데미지를 얻습니다.
jkr_shift1_name,태그 매치
jkr_shift1_desc,교대 블록이 포함된 경우 데미지가 상승합니다.
jkr_trich_name,사슬의 춤
jkr_trich_desc,1·2·3체인이 모두 있을 때 데미지가 크게 상승합니다.
jkr_turn2_name,완전체
jkr_turn2_desc,이전 턴과 체인 시퀀스가 완전히 일치하면 큰 보너스를 얻습니다.
jkr_spd2_name,전광석화
jkr_spd2_desc,남은 시간이 70% 이상일 때 강력한 보너스 데미지를 얻습니다.
