Key,Value
ui_save_slot_label,슬롯
ui_save_slot_new,저장할 데이터
ui_save_slot_empty,비어있음
ui_chapter,챕터
ui_stage,스테이지
ui_turn_damage_label,이번 턴 누적
ui_label_passive,패시브
ui_label_this_turn,이번 턴
ui_label_turn,턴
ui_boss_pattern_info,"패시브: {0}개 / 턴 모디파이어: {1}개"
ui_unlock_suffix,해금!
ui_mode_clear,모드 클리어
ui_game_over,게임 오버
ui_confirm_overwrite,"슬롯 {0} 덮어쓸까요?"
ui_skill_type_passive,패시브
ui_skill_type_block_skill,블럭 스킬
ui_info_effect,효과
ui_info_turn_skill,턴 스킬
ui_info_turn_suffix,턴
ui_unlock_cond_adventureclear,모험 {0}회 클리어
ui_unlock_cond_bossmodeclear,보스 모드 {0}회 클리어
ui_unlock_cond_chain1used,1연쇄 {0}회 달성
ui_unlock_cond_chain2used,2연쇄 {0}회 달성
ui_unlock_cond_chain3used,3연쇄 {0}회 달성
ui_unlock_cond_blocksdiscarded,블럭 {0}회 버리기
ui_unlock_cond_unlockedjokercount,조커 {0}개 해금
ui_unlock_cond_unlockedcharactercount,영웅 {0}명 해금
ui_unlock_cond_clearwithclass,{0} {1}회 클리어
ui_rarity_common,일반
ui_rarity_rare,희귀
ui_rarity_epic,에픽
