Key,Value
jkr_bs1_name,태그 매치
jkr_bs1_desc,서로 다른 직업을 번갈아가면서 구성했을 시 데미지가 상승합니다
jkr_ch1_name,기본이 중요하다
jkr_ch1_desc,1체인의 데미지가 상승합니다.
jkr_cwar1_name,전투의 함성
jkr_cwar1_desc,워리어 블록의 데미지가 상승합니다.
jkr_carc1_name,궁수의 연사
jkr_carc1_desc,아처 블록의 데미지가 상승합니다.
jkr_cpri1_name,사제의 축복
jkr_cpri1_desc,프리스트 블록의 데미지가 상승합니다.
jkr_ch2_name,연속 타격
jkr_ch2_desc,2체인의 데미지가 상승합니다.
jkr_ch3_name,삼중 일격
jkr_ch3_desc,3체인의 데미지가 상승합니다.
jkr_dsc1_name,재장전의 열기
jkr_dsc1_desc,버리기를 사용할수록 데미지가 상승합니다.
jkr_grp1_name,물량공세
jkr_grp1_desc,그룹 수가 많을수록 데미지가 상승합니다.
jkr_turn_e_name,선제 공격
jkr_turn_e_desc,첫 번째 턴에 데미지가 상승합니다.
jkr_late_c_name,지속 전투
jkr_late_c_desc,4턴 이후 데미지가 소폭 상승합니다.
jkr_nods_c_name,청정한 손패
jkr_nods_c_desc,버리기를 사용하지 않으면 데미지가 소폭 상승합니다.
jkr_cwar2_name,전사의 집중
jkr_cwar2_desc,워리어 그룹이 2개 이상일 때 강한 보너스를 얻습니다.
jkr_carc2_name,궁수의 집중
jkr_carc2_desc,아처 그룹이 2개 이상일 때 강한 보너스를 얻습니다.
jkr_cpri2_name,사제의 집중
jkr_cpri2_desc,프리스트 그룹이 2개 이상일 때 강한 보너스를 얻습니다.
jkr_wararch_name,철벽 공격대
jkr_wararch_desc,워리어·아처 그룹의 데미지가 상승합니다.
jkr_archpri_name,성스러운 화살
jkr_archpri_desc,아처·프리스트 그룹의 데미지가 상승합니다.
jkr_priwar_name,성전사
jkr_priwar_desc,프리스트·워리어 그룹의 데미지가 상승합니다.
jkr_ch1b_name,1체인의 힘
jkr_ch1b_desc,1체인의 데미지가 더욱 상승합니다.
jkr_ch23_name,중급 연쇄
jkr_ch23_desc,2·3체인 데미지가 상승합니다.
jkr_cons_c_name,다양한 연쇄
jkr_cons_c_desc,1·2·3체인이 모두 있을 때 데미지가 상승합니다.
jkr_spd1_name,순간의 집중
jkr_spd1_desc,남은 시간이 절반 이상일 때 데미지가 상승합니다.
jkr_dsc2_name,버리기의 달인
jkr_dsc2_desc,버리기를 2번 이상 사용하면 데미지가 상승합니다.
jkr_dom1_name,주류 전략
jkr_dom1_desc,한 직업이 3개 이상 그룹이면 데미지가 상승합니다.
jkr_prev3_name,이전 기억
jkr_prev3_desc,이전 턴의 3체인 경험을 이번 턴에 활용합니다.
jkr_turn_l_name,지구전
jkr_turn_l_desc,4턴 이후 데미지가 크게 상승합니다.
jkr_nods1_name,완벽한 손패
jkr_nods1_desc,버리기를 사용하지 않으면 데미지가 크게 상승합니다.
jkr_trio1_name,삼색 전략
jkr_trio1_desc,세 직업이 모두 등장했을 때 강력한 데미지 상승.
jkr_full_name,완전체
jkr_full_desc,교대 배치와 세 직업 모두 출현 시 최강의 데미지.
jkr_spd_e_name,전광석화
jkr_spd_e_desc,남은 시간이 70% 이상일 때 강력한 데미지 상승.
